property_type,inspections_opendate,inspections_closeddate,date_num,violation
Low Rise,2023-01-25,2024-10-26,1481,1
Detention,2024-05-19,2024-09-01,1549,0
Low Rise,2023-04-28,2024-07-13,1473,0
Residential Care,2020-09-25,2024-03-26,548,1
Low Rise,2022-05-05,2024-08-21,1674,0
High Rise,2019-10-25,2024-07-31,1260,0
Detention,2021-01-14,2024-08-03,741,1
Group Home,2024-04-22,2024-08-31,1142,0
Rooming House,2024-01-05,2024-07-20,1181,1
Detention,2021-03-11,2024-05-27,713,1
Hospital,2024-10-25,2024-05-09,927,1
Group Home (VO),2024-04-07,2024-11-13,317,0
Group Home,2019-08-12,2024-05-19,438,1
Nursing Home,2021-10-23,2024-06-13,88,1
Group Home,2024-05-27,2024-03-11,601,1
Hotel & Motel,2020-12-08,2024-06-30,765,1
High Rise,2020-05-05,2024-06-06,438,1
Low Rise,2022-12-17,2024-04-29,1523,0
Nursing Home,2022-12-19,2024-01-29,98,1
Detention,2022-09-09,2024-11-02,1606,1
Group Home (VO),2020-06-25,2024-10-16,429,0
Group Home,2023-10-24,2024-09-17,1267,1
Residential Care,2020-02-16,2024-05-21,116,1
Detention,2023-02-10,2024-11-12,165,1
High Rise,2020-07-18,2024-08-07,432,1
Group Home,2020-10-01,2024-11-26,392,0
Residential Care,2019-08-23,2024-08-31,1394,0
High Rise,2023-12-30,2024-01-13,617,1
Hospital,2019-11-15,2024-03-07,245,1
Group Home (VO),2022-06-09,2024-10-20,925,1
Low Rise,2021-10-07,2024-06-23,52,1
Hotel & Motel,2021-02-12,2024-06-10,1015,1
Residential Care,2024-06-26,2024-09-16,635,0
Hotel & Motel,2022-12-01,2024-09-27,1542,0
Group Home,2022-10-27,2024-07-27,1139,1
Group Home,2023-07-23,2024-03-10,9,0
Rooming House,2024-03-30,2024-08-24,294,0
Rooming House,2020-01-19,2024-08-14,867,0
High Rise,2024-03-13,2024-08-04,1580,1
Residential Care,2021-12-12,2024-01-30,903,0
Group Home,2023-07-02,2024-01-11,676,1
Nursing Home,2019-12-08,2024-06-05,1485,1
Hospital,2022-10-12,2024-04-22,964,0
High Rise,2022-10-18,2024-10-04,1083,1
Hotel & Motel,2020-01-29,2024-10-13,1261,1
High Rise,2022-01-10,2024-08-08,1420,0
Detention,2022-02-16,2024-07-04,1160,0
Hospital,2023-05-03,2024-03-17,1467,1
Nursing Home,2020-04-01,2024-08-28,558,0
Low Rise,2021-01-19,2024-05-17,1662,0
Nursing Home,2022-04-16,2024-09-05,1627,1
Low Rise,2023-02-13,2024-09-18,1407,1
Group Home,2024-03-05,2024-11-04,1392,1
High Rise,2019-07-18,2024-10-15,965,0
Hospital,2022-01-05,2024-02-18,1102,0
Group Home,2023-12-06,2024-08-31,1463,1
Nursing Home,2024-10-29,2024-07-17,705,1
Hotel & Motel,2020-06-22,2024-08-27,1151,0
Rooming House,2021-04-01,2024-01-15,1121,1
Rooming House,2021-04-08,2024-11-03,62,1
Low Rise,2019-09-11,2024-03-03,1244,1
Group Home (VO),2019-11-15,2024-11-26,1597,0
Low Rise,2024-10-10,2024-08-08,721,1
Group Home,2019-09-07,2024-06-25,62,1
Nursing Home,2019-09-10,2024-08-26,1196,0
High Rise,2020-06-05,2024-09-15,1412,1
Hospital,2021-06-13,2024-11-23,296,0
Nursing Home,2024-07-04,2024-04-05,742,0
Detention,2023-04-26,2024-04-22,762,0
Hospital,2019-10-22,2024-08-25,548,1
Hospital,2019-09-08,2024-11-09,847,0
Low Rise,2021-03-05,2024-11-07,1530,0
Hospital,2024-05-21,2024-06-27,828,1
Hotel & Motel,2024-08-05,2024-04-02,1229,1
Group Home (VO),2024-08-07,2024-01-09,1097,0
High Rise,2019-12-07,2024-10-22,1281,0
Hospital,2021-08-26,2024-05-24,1162,1
Group Home,2019-10-09,2024-05-14,117,0
Low Rise,2023-04-14,2024-03-07,720,0
Group Home,2024-01-15,2024-11-04,1069,1
Group Home,2024-07-25,2024-01-27,614,1
High Rise,2024-03-28,2024-03-08,1666,0
Rooming House,2023-05-26,2024-03-26,989,0
Hospital,2022-04-13,2024-01-02,1258,1
Residential Care,2023-09-24,2024-08-16,505,1
High Rise,2024-04-08,2024-07-30,1636,1
Low Rise,2021-07-06,2024-03-01,903,0
Hotel & Motel,2020-04-13,2024-07-23,1621,1
Hospital,2024-05-25,2024-07-06,578,0
Hotel & Motel,2023-05-18,2024-01-15,1395,0
Low Rise,2020-01-01,2024-01-25,1019,0
Group Home (VO),2020-12-21,2024-02-16,1345,0
Hospital,2019-09-14,2024-09-03,980,0
Rooming House,2021-02-28,2024-02-25,1346,1
Nursing Home,2021-12-17,2024-10-09,345,1
Hotel & Motel,2021-07-18,2024-10-21,851,0
Hospital,2022-03-19,2024-04-15,353,0
Group Home,2022-07-26,2024-01-20,1355,1
High Rise,2019-11-09,2024-02-14,1489,1
Low Rise,2023-05-03,2024-01-13,1398,1
High Rise,2023-07-31,2024-05-07,1218,1
Group Home (VO),2023-08-13,2024-10-25,518,0
Nursing Home,2021-01-29,2024-04-23,629,1
Residential Care,2022-03-28,2024-07-24,504,1
High Rise,2023-09-17,2024-06-07,612,0
High Rise,2021-11-20,2024-11-08,1598,1
Rooming House,2023-05-21,2024-05-31,913,1
Rooming House,2020-07-24,2024-09-08,1248,1
Low Rise,2019-09-14,2024-10-17,1637,0
Residential Care,2022-10-12,2024-03-27,147,0
Group Home,2023-06-17,2024-10-23,317,0
Residential Care,2019-09-05,2024-11-07,912,0
High Rise,2024-07-08,2024-03-03,1610,0
Group Home,2019-11-22,2024-01-31,733,1
Residential Care,2022-05-23,2024-09-06,610,1
Low Rise,2019-09-17,2024-03-26,918,1
High Rise,2019-12-10,2024-07-14,712,0
Residential Care,2020-05-07,2024-04-08,202,0
Hotel & Motel,2021-08-25,2024-06-23,759,0
Hospital,2023-01-07,2024-08-16,653,1
Detention,2022-05-04,2024-06-20,737,0
Hotel & Motel,2024-10-22,2024-06-15,547,1
Nursing Home,2023-04-12,2024-04-30,797,0
Group Home,2021-04-11,2024-07-10,1230,1
High Rise,2022-08-20,2024-06-30,1249,0
High Rise,2022-10-25,2024-02-10,643,0
Residential Care,2019-11-24,2024-05-04,233,1
Group Home,2020-08-02,2024-10-30,608,1
Group Home (VO),2022-05-31,2024-07-13,616,0
Detention,2023-11-05,2024-03-14,1359,0
Residential Care,2024-11-11,2024-01-30,3,0
Nursing Home,2024-01-16,2024-06-04,768,1
High Rise,2023-03-28,2024-06-01,1501,1
Hospital,2023-02-04,2024-11-01,1364,0
Group Home (VO),2019-09-06,2024-10-04,708,0
Residential Care,2019-07-20,2024-08-18,508,1
Rooming House,2024-06-13,2024-02-17,617,0
Residential Care,2023-11-14,2024-05-01,394,0
Group Home (VO),2023-01-12,2024-01-17,678,0
High Rise,2024-06-28,2024-01-17,240,0
Group Home,2024-08-19,2024-10-06,1449,1
Group Home,2023-06-10,2024-05-11,348,0
Low Rise,2023-04-07,2024-02-29,357,1
Rooming House,2020-03-05,2024-11-16,1269,1
Group Home (VO),2020-01-02,2024-06-23,1218,1
Detention,2019-07-19,2024-06-10,423,1
Group Home (VO),2021-12-12,2024-08-04,123,0
Hospital,2022-11-29,2024-01-10,952,0
High Rise,2023-11-10,2024-07-20,256,1
Rooming House,2020-04-03,2024-10-03,1417,1
Hotel & Motel,2023-10-03,2024-10-21,296,1
Low Rise,2021-08-28,2024-01-06,283,0
Residential Care,2023-11-04,2024-02-19,169,0
Group Home,2021-09-28,2024-01-10,1253,0
Low Rise,2019-08-08,2024-06-08,373,1
Rooming House,2021-05-29,2024-01-05,280,1
Hotel & Motel,2023-03-13,2024-11-21,248,1
Detention,2020-01-05,2024-09-06,1160,0
Nursing Home,2022-06-30,2024-03-29,1557,0
Detention,2024-07-06,2024-04-21,1609,0
Group Home (VO),2024-03-06,2024-10-09,642,1
Detention,2022-10-11,2024-01-17,685,1
Hospital,2019-09-01,2024-08-29,1615,0
Hotel & Motel,2023-01-12,2024-06-29,928,0
Group Home (VO),2020-07-26,2024-10-17,137,1
Nursing Home,2023-06-13,2024-09-26,222,1
Nursing Home,2020-05-25,2024-11-14,95,1
Detention,2020-05-12,2024-05-15,928,1
Rooming House,2024-03-07,2024-04-21,223,1
High Rise,2022-03-07,2024-02-19,181,0
Group Home,2019-12-28,2024-01-07,294,0
Group Home,2023-09-27,2024-06-30,7,0
Group Home,2020-10-20,2024-04-29,1558,0
Residential Care,2024-02-08,2024-05-03,458,1
Group Home (VO),2023-10-23,2024-09-12,580,1
Hotel & Motel,2020-08-18,2024-07-03,1674,0
Group Home (VO),2021-05-19,2024-06-07,1331,1
High Rise,2022-01-10,2024-09-14,805,1
Group Home,2023-09-12,2024-05-14,729,1
Low Rise,2022-09-08,2024-08-14,856,0
High Rise,2022-12-24,2024-04-10,695,1
Rooming House,2022-01-26,2024-02-09,1386,0
Low Rise,2024-08-21,2024-04-06,973,1
Group Home,2024-10-26,2024-05-21,1192,1
Group Home,2023-01-11,2024-02-03,159,1
Rooming House,2021-08-30,2024-05-24,1305,1
Low Rise,2020-02-20,2024-10-08,352,1
Nursing Home,2020-02-16,2024-08-24,170,0
Hospital,2021-01-19,2024-10-25,479,1
Detention,2022-10-08,2024-11-12,15,0
Group Home,2024-10-25,2024-05-31,983,0
Low Rise,2021-05-25,2024-01-17,208,1
High Rise,2022-10-07,2024-08-28,723,0
Low Rise,2022-03-18,2024-01-06,1096,1
Nursing Home,2021-01-30,2024-02-11,252,0
Group Home (VO),2024-02-26,2024-09-23,1480,1
Hotel & Motel,2022-10-09,2024-11-28,77,1
Low Rise,2021-06-23,2024-07-30,607,0
Group Home (VO),2019-09-10,2024-10-04,668,0
Residential Care,2020-09-24,2024-02-04,1488,1
Hotel & Motel,2019-07-22,2024-07-04,308,1
Residential Care,2023-08-15,2024-07-24,1340,0
Nursing Home,2021-06-27,2024-01-29,590,1
Residential Care,2021-09-27,2024-04-04,994,0
Rooming House,2019-10-11,2024-07-01,597,1
High Rise,2021-05-02,2024-04-11,1134,0
Rooming House,2021-04-12,2024-08-05,442,0
Hotel & Motel,2021-11-13,2024-06-30,398,1
High Rise,2024-04-21,2024-05-23,671,1
Group Home (VO),2024-04-17,2024-03-04,847,1
Detention,2021-05-25,2024-06-14,123,1
Low Rise,2023-06-20,2024-08-26,1287,1
Hotel & Motel,2023-06-02,2024-01-24,324,0
Detention,2020-03-20,2024-06-14,350,1
Low Rise,2024-09-21,2024-07-19,1294,1
Residential Care,2022-09-22,2024-04-29,16,1
Rooming House,2024-11-05,2024-04-05,331,0
Residential Care,2019-08-30,2024-05-02,654,0
Residential Care,2021-08-20,2024-02-23,458,0
Nursing Home,2021-11-27,2024-10-20,1084,0
Group Home,2020-03-24,2024-11-13,312,1
Rooming House,2020-01-07,2024-05-26,202,1
Detention,2023-01-14,2024-02-15,794,1
Group Home,2022-08-18,2024-08-12,342,1
Hotel & Motel,2019-09-15,2024-05-02,247,0
Rooming House,2020-12-12,2024-05-15,13,1
Group Home,2023-09-30,2024-11-27,1181,1
High Rise,2023-06-10,2024-06-05,1058,0
Group Home (VO),2023-07-31,2024-03-11,1074,0
Detention,2020-09-21,2024-03-15,420,0
Group Home,2021-05-27,2024-01-13,113,1
High Rise,2022-01-08,2024-04-18,757,0
Group Home (VO),2022-09-24,2024-07-09,329,1
Detention,2024-10-25,2024-11-15,31,1
High Rise,2023-03-17,2024-08-15,486,0
High Rise,2022-08-25,2024-02-02,94,1
Residential Care,2020-02-21,2024-05-24,1449,0
Detention,2020-01-18,2024-01-03,1563,0
Group Home,2022-10-04,2024-10-23,1274,0
Hospital,2024-05-01,2024-03-05,793,0
Residential Care,2023-02-03,2024-03-12,1254,0
Residential Care,2020-09-20,2024-06-24,48,0
Detention,2022-04-05,2024-06-15,374,1
Nursing Home,2020-02-25,2024-08-09,914,0
High Rise,2020-12-18,2024-08-26,1301,1
Rooming House,2020-01-13,2024-05-29,1371,1
High Rise,2019-09-02,2024-01-11,661,0
Hotel & Motel,2024-11-10,2024-07-24,1456,0
Hospital,2024-04-11,2024-11-15,436,0
Hotel & Motel,2021-03-18,2024-07-28,1313,0
Group Home (VO),2021-07-21,2024-10-17,1497,0
Nursing Home,2021-03-03,2024-02-24,1270,0
Rooming House,2020-11-23,2024-06-17,594,1
High Rise,2022-09-01,2024-03-07,593,1
High Rise,2022-01-27,2024-02-14,41,1
Rooming House,2024-06-07,2024-07-19,852,0
Nursing Home,2020-08-01,2024-04-03,530,0
Detention,2020-02-12,2024-04-23,696,0
Group Home,2020-04-27,2024-03-09,1269,0
Nursing Home,2022-07-26,2024-02-09,1445,1
Group Home (VO),2022-04-28,2024-01-24,573,0
Detention,2020-03-09,2024-09-02,1060,1
Rooming House,2022-06-05,2024-07-02,965,0
High Rise,2023-02-21,2024-07-16,108,1
High Rise,2019-10-06,2024-07-15,1254,0
Group Home,2023-06-26,2024-07-09,982,0
Low Rise,2023-04-11,2024-01-10,251,1
Group Home (VO),2020-05-03,2024-01-19,379,1
Residential Care,2019-08-05,2024-08-20,154,1
Nursing Home,2019-09-04,2024-03-24,1504,1
Group Home (VO),2024-11-03,2024-08-05,901,1
Low Rise,2024-01-20,2024-02-19,1010,0
Rooming House,2024-05-18,2024-01-13,1299,1
Group Home,2021-03-12,2024-04-03,998,1
Low Rise,2024-03-10,2024-06-19,102,1
Low Rise,2021-07-15,2024-09-05,471,1
Group Home,2023-06-02,2024-07-25,996,0
Residential Care,2024-09-01,2024-01-09,787,1
Low Rise,2021-03-13,2024-11-10,408,0
Group Home,2021-10-18,2024-06-29,5,1
Low Rise,2020-07-20,2024-09-14,1021,0
Rooming House,2024-06-16,2024-07-23,1091,0
Hotel & Motel,2022-03-19,2024-06-10,860,0
Group Home,2022-03-27,2024-06-08,1323,0
Rooming House,2020-04-14,2024-02-12,1141,0
Hotel & Motel,2020-05-22,2024-06-25,1668,0
Low Rise,2021-03-14,2024-07-06,385,1
Low Rise,2019-10-06,2024-01-07,183,1
Hospital,2021-07-07,2024-06-05,1421,0
Rooming House,2022-11-13,2024-04-15,1004,0
High Rise,2023-02-20,2024-09-25,736,1
Nursing Home,2023-06-22,2024-02-13,1308,0
Nursing Home,2019-07-24,2024-01-23,1579,0
Hotel & Motel,2022-08-02,2024-02-17,187,1
Rooming House,2020-12-11,2024-05-20,935,1
Nursing Home,2024-02-14,2024-06-28,240,1
Rooming House,2021-07-28,2024-09-28,219,0
Detention,2021-08-25,2024-04-25,203,0
Rooming House,2022-05-21,2024-06-27,722,0
Low Rise,2021-03-25,2024-02-27,429,1
High Rise,2019-09-14,2024-05-27,344,1
Hotel & Motel,2021-08-01,2024-02-22,560,1
Hospital,2021-09-19,2024-07-26,209,1
Group Home,2021-12-06,2024-09-02,357,1
Hotel & Motel,2021-01-15,2024-09-18,1610,0
High Rise,2021-09-10,2024-08-17,1387,1
Residential Care,2023-12-29,2024-04-13,1425,0
Residential Care,2021-10-31,2024-07-29,740,1
Hotel & Motel,2023-01-28,2024-06-25,415,0
Group Home,2023-11-08,2024-02-12,1418,0
Hotel & Motel,2023-12-18,2024-11-09,676,1
Low Rise,2022-09-12,2024-05-16,836,1
Rooming House,2022-04-24,2024-06-29,415,0
Group Home,2019-11-16,2024-04-09,571,0
Group Home,2022-09-08,2024-05-27,1191,1
High Rise,2020-08-18,2024-06-26,1485,1
Hotel & Motel,2019-08-20,2024-04-03,1485,1
Low Rise,2022-02-25,2024-05-01,180,1
Hospital,2024-04-09,2024-09-13,1383,0
Hotel & Motel,2022-10-07,2024-07-02,1011,1
Nursing Home,2022-08-02,2024-07-18,686,1
Group Home,2022-03-23,2024-02-01,1473,0
Detention,2023-11-26,2024-02-15,306,0
High Rise,2020-03-19,2024-11-21,1387,1
Nursing Home,2023-03-07,2024-10-05,851,1
Group Home,2024-07-17,2024-08-22,414,1
Nursing Home,2022-01-17,2024-10-09,1563,1
Detention,2021-08-02,2024-11-10,681,0
High Rise,2022-01-13,2024-08-26,672,1
Group Home (VO),2022-09-25,2024-11-04,307,1
Hotel & Motel,2023-02-25,2024-09-17,234,0
Rooming House,2022-11-16,2024-06-06,562,0
Group Home (VO),2021-10-07,2024-06-04,904,0
Low Rise,2024-03-19,2024-07-26,1009,1
Rooming House,2023-09-03,2024-01-27,1548,0
Group Home,2020-12-03,2024-07-04,230,1
Nursing Home,2020-07-24,2024-06-28,1356,0
Group Home,2023-09-03,2024-06-10,35,0
Low Rise,2022-06-20,2024-03-15,866,0
Group Home,2023-12-06,2024-10-21,1231,1
High Rise,2024-05-02,2024-04-30,55,0
Hotel & Motel,2022-10-30,2024-04-03,96,1
Hospital,2024-03-19,2024-10-27,1627,0
Group Home (VO),2024-01-07,2024-01-12,1639,0
Hotel & Motel,2021-09-11,2024-06-20,127,0
Low Rise,2023-10-30,2024-08-24,1505,1
Hotel & Motel,2023-04-19,2024-04-11,1654,1
Low Rise,2020-08-22,2024-11-20,1577,1
Group Home,2022-05-30,2024-03-08,37,0
High Rise,2023-08-31,2024-07-21,1514,1
Group Home (VO),2023-03-19,2024-08-17,1465,0
Hotel & Motel,2023-01-26,2024-10-29,1,0
Nursing Home,2024-11-16,2024-09-26,1569,0
Low Rise,2020-09-08,2024-10-19,241,1
High Rise,2022-08-02,2024-01-07,1538,0
Detention,2021-01-23,2024-04-22,1403,1
Low Rise,2020-10-10,2024-03-01,111,0
High Rise,2023-06-06,2024-08-28,1436,1
Rooming House,2023-07-30,2024-11-21,180,1
Detention,2022-01-27,2024-05-14,319,0
Rooming House,2020-08-13,2024-05-11,1591,1
High Rise,2024-09-14,2024-08-07,1057,1
Low Rise,2022-12-24,2024-08-14,1526,1
Group Home,2024-10-04,2024-05-20,1603,1
Hotel & Motel,2022-01-08,2024-06-12,883,1
Low Rise,2023-10-01,2024-10-03,272,0
Rooming House,2019-08-02,2024-07-08,115,0
High Rise,2020-07-29,2024-05-21,1183,1
High Rise,2019-08-05,2024-05-09,1451,0
Nursing Home,2024-02-03,2024-10-15,972,1
Detention,2024-10-28,2024-04-30,443,0
Nursing Home,2023-03-31,2024-02-18,793,0
Hotel & Motel,2020-07-03,2024-01-10,1583,1
High Rise,2021-11-12,2024-08-19,1155,1
Rooming House,2023-07-24,2024-02-15,615,0
Hotel & Motel,2021-02-13,2024-03-11,344,0
Nursing Home,2021-12-11,2024-08-27,1461,1
Hospital,2024-08-27,2024-03-16,398,1
Hotel & Motel,2022-05-24,2024-04-14,1001,1
Hospital,2021-03-18,2024-07-22,610,1
Residential Care,2022-06-05,2024-04-14,857,0
Rooming House,2022-01-12,2024-03-08,302,1
Group Home (VO),2024-05-03,2024-01-24,1442,0
Group Home,2020-11-07,2024-09-02,0,0
Hospital,2022-04-23,2024-02-24,494,1
Group Home (VO),2023-03-12,2024-11-24,866,1
Hotel & Motel,2024-02-19,2024-10-01,873,1
Rooming House,2024-09-12,2024-09-08,1183,0
Detention,2021-08-17,2024-03-10,761,1
Residential Care,2019-10-08,2024-09-23,1489,1
High Rise,2020-05-27,2024-06-11,1068,0
Low Rise,2021-09-17,2024-10-03,869,1
Rooming House,2023-12-09,2024-01-13,581,1
High Rise,2022-05-01,2024-04-25,563,0
Rooming House,2022-07-25,2024-07-30,931,1
Group Home,2022-01-01,2024-10-16,569,0
Low Rise,2021-04-13,2024-01-27,994,0
Hospital,2019-08-10,2024-01-19,1182,0
Residential Care,2023-01-21,2024-03-06,1276,1
Group Home,2023-10-15,2024-04-23,1161,0
Hotel & Motel,2021-03-02,2024-05-21,1629,0
Hospital,2020-12-26,2024-01-07,619,0
Nursing Home,2020-08-04,2024-04-01,317,1
Hospital,2024-07-16,2024-05-09,630,0
Residential Care,2024-03-23,2024-08-08,44,0
Detention,2022-02-13,2024-02-26,567,0
Hospital,2022-03-04,2024-03-11,290,1
Residential Care,2021-07-10,2024-10-08,1523,0
Nursing Home,2019-11-18,2024-06-21,1588,1
Detention,2023-04-30,2024-09-29,85,1
Rooming House,2022-08-16,2024-04-10,1414,1
Low Rise,2023-11-21,2024-02-03,594,0
Group Home,2020-04-06,2024-06-08,239,1
Low Rise,2022-10-16,2024-06-13,1630,1
Hotel & Motel,2022-02-21,2024-11-17,714,1
Hospital,2021-12-13,2024-11-18,1577,1
Hospital,2022-04-24,2024-08-29,575,1
Residential Care,2023-08-31,2024-09-10,264,1
Rooming House,2019-09-23,2024-01-11,420,1
Residential Care,2020-08-27,2024-06-17,1152,1
Detention,2021-08-10,2024-07-15,1463,0
Low Rise,2020-01-01,2024-10-13,573,0
Nursing Home,2022-12-13,2024-10-02,1208,0
Group Home (VO),2021-10-20,2024-08-20,57,0
Group Home (VO),2022-04-10,2024-03-30,1192,0
Hotel & Motel,2024-07-10,2024-10-23,1496,0
Low Rise,2021-10-20,2024-01-14,783,1
High Rise,2024-06-25,2024-04-06,1307,1
Group Home,2022-08-17,2024-03-02,686,1
Rooming House,2019-08-13,2024-10-16,50,1
Group Home,2022-05-25,2024-05-18,480,1
Low Rise,2023-04-12,2024-02-12,460,0
Group Home (VO),2021-12-10,2024-10-07,529,1
Hospital,2022-12-14,2024-11-19,1399,1
Hotel & Motel,2023-09-18,2024-08-07,795,1
Hotel & Motel,2020-05-29,2024-02-13,454,0
Hotel & Motel,2020-07-29,2024-09-17,101,0
Hotel & Motel,2020-08-26,2024-05-07,1014,0
Hotel & Motel,2024-07-24,2024-02-04,1503,0
Detention,2020-03-01,2024-11-23,628,1
Hospital,2023-02-14,2024-09-18,199,1
Rooming House,2022-09-24,2024-04-19,366,0
Hospital,2021-05-06,2024-02-16,179,1
High Rise,2023-02-16,2024-07-27,110,1
High Rise,2019-07-14,2024-02-02,475,0
Group Home,2019-08-14,2024-07-01,818,0
Group Home (VO),2020-11-16,2024-02-13,1140,0
High Rise,2022-11-30,2024-02-01,459,1
High Rise,2024-08-24,2024-08-01,858,1
Detention,2024-02-11,2024-06-06,276,0
Low Rise,2024-02-20,2024-06-21,1381,0
Residential Care,2024-10-02,2024-03-21,1310,1
High Rise,2022-10-29,2024-10-28,1143,0
Residential Care,2022-07-07,2024-08-01,743,0
Low Rise,2022-01-22,2024-02-02,1416,1
Residential Care,2023-02-13,2024-10-19,707,1
Rooming House,2023-04-21,2024-05-02,1629,0
Group Home,2019-08-13,2024-07-28,1648,0
Low Rise,2022-10-19,2024-02-18,1627,0
Rooming House,2022-09-29,2024-08-03,558,0
Group Home,2023-11-23,2024-06-15,450,1
Hotel & Motel,2019-08-16,2024-11-23,297,0
Group Home,2021-11-28,2024-03-06,700,1
Residential Care,2021-02-22,2024-09-25,1673,0
Detention,2021-09-02,2024-01-21,983,0
Hospital,2021-11-20,2024-11-07,401,0
Hotel & Motel,2023-03-09,2024-10-21,753,0
Detention,2021-11-18,2024-03-28,1227,1
Hospital,2024-10-23,2024-11-02,1381,1
Hotel & Motel,2020-10-18,2024-10-17,872,0
Hospital,2022-05-17,2024-05-04,1225,1
High Rise,2024-01-26,2024-06-26,870,0
Residential Care,2021-03-12,2024-02-07,578,1
Detention,2022-08-20,2024-07-31,1413,1
Group Home (VO),2020-10-24,2024-11-05,1223,1
Hospital,2024-11-07,2024-07-01,1505,0
Hotel & Motel,2023-02-01,2024-09-08,648,1
Group Home (VO),2022-01-25,2024-08-07,1452,0
Group Home,2021-11-08,2024-07-22,76,0
Group Home (VO),2021-03-28,2024-08-26,1475,1
Detention,2023-08-16,2024-01-12,1429,0
Hospital,2022-05-29,2024-01-09,628,0
Hospital,2019-08-30,2024-08-14,533,1
Low Rise,2023-09-09,2024-05-06,1008,0
Rooming House,2019-11-12,2024-08-31,309,1
Group Home,2022-09-17,2024-01-15,225,0
Nursing Home,2021-08-03,2024-05-25,699,0
Rooming House,2019-10-28,2024-02-22,380,0
Low Rise,2021-02-27,2024-10-30,134,0
Residential Care,2020-12-09,2024-01-07,577,0
Rooming House,2021-12-22,2024-01-26,177,0
Group Home (VO),2024-01-12,2024-06-22,532,1
Rooming House,2022-11-19,2024-04-24,207,1
Nursing Home,2021-09-15,2024-05-16,1461,1
Residential Care,2020-08-21,2024-01-02,1674,0
Rooming House,2020-11-19,2024-04-06,1370,0
Rooming House,2024-08-21,2024-07-17,108,0
Group Home,2022-05-03,2024-03-18,1454,1
Rooming House,2022-06-08,2024-06-22,150,1
Rooming House,2022-05-29,2024-11-28,1053,0
Low Rise,2021-08-20,2024-11-24,224,1
Hospital,2020-05-07,2024-11-01,149,1
Residential Care,2020-12-18,2024-04-14,657,0
Nursing Home,2024-02-19,2024-09-04,782,1
Low Rise,2020-12-09,2024-07-28,436,0
Low Rise,2019-11-01,2024-01-09,922,0
Low Rise,2020-05-22,2024-02-16,1457,0
Hotel & Motel,2019-11-26,2024-01-10,1082,0
Nursing Home,2024-08-11,2024-08-14,127,0
Low Rise,2022-05-20,2024-11-20,1068,0
Hospital,2021-02-19,2024-05-29,922,1
Low Rise,2020-05-26,2024-09-05,1497,1
Low Rise,2021-11-07,2024-03-23,304,1
Hospital,2019-11-30,2024-10-02,466,1
Nursing Home,2024-03-15,2024-11-01,1497,1
Residential Care,2023-12-09,2024-07-09,831,0
Residential Care,2021-10-16,2024-05-27,423,1
High Rise,2024-09-10,2024-03-28,1613,0
Residential Care,2023-07-23,2024-03-11,580,0
Low Rise,2022-11-07,2024-04-29,337,0
Low Rise,2020-08-27,2024-04-16,220,1
Rooming House,2021-04-13,2024-09-10,787,0
Hospital,2023-02-22,2024-07-26,418,1
Low Rise,2021-04-09,2024-10-24,250,0
Detention,2020-05-09,2024-07-19,870,1
High Rise,2024-04-26,2024-10-19,912,1
Low Rise,2020-12-11,2024-08-02,1549,0
Low Rise,2019-07-31,2024-02-20,496,1
Hospital,2020-06-12,2024-06-28,323,0
Hospital,2021-03-11,2024-02-12,1163,0
High Rise,2023-06-15,2024-06-27,692,1
Rooming House,2021-04-22,2024-10-23,712,0
Residential Care,2023-11-19,2024-09-09,1556,1
Group Home,2024-10-15,2024-03-24,249,0
Rooming House,2023-12-04,2024-10-18,1574,0
Group Home,2021-10-08,2024-11-23,1639,1
Hotel & Motel,2021-12-13,2024-08-24,243,0
Residential Care,2022-10-25,2024-04-23,1599,0
Hotel & Motel,2020-03-13,2024-06-21,773,1
Rooming House,2021-06-04,2024-11-09,1134,0
Hospital,2022-02-09,2024-01-11,675,0
Residential Care,2021-07-15,2024-07-26,125,0
Group Home,2022-01-18,2024-08-31,135,0
Detention,2024-07-15,2024-10-03,1342,0
High Rise,2024-07-15,2024-06-19,1658,1
Hospital,2019-07-21,2024-08-01,617,1
Low Rise,2024-11-02,2024-10-03,1059,1
Hospital,2019-11-23,2024-07-02,3,0
Nursing Home,2019-12-05,2024-10-01,459,1
Detention,2021-04-30,2024-03-04,1197,0
Hotel & Motel,2024-09-23,2024-08-04,648,1
Nursing Home,2024-04-02,2024-10-28,22,0
Nursing Home,2024-07-31,2024-11-04,814,1
Hospital,2023-07-04,2024-06-15,482,0
Rooming House,2023-05-21,2024-10-21,752,0
Group Home,2021-02-22,2024-04-04,360,1
Hospital,2021-07-29,2024-10-10,1302,0
Group Home,2022-03-18,2024-09-19,1449,1
Residential Care,2023-01-21,2024-03-28,1539,1
Group Home,2020-08-06,2024-08-13,905,1
Nursing Home,2023-09-14,2024-05-02,888,1
Hotel & Motel,2022-02-23,2024-11-10,1144,1
Rooming House,2021-01-16,2024-04-05,575,0
Group Home,2024-07-31,2024-05-22,760,0
High Rise,2022-08-26,2024-07-04,1316,0
Group Home,2021-06-13,2024-07-23,1486,1
Group Home,2023-03-31,2024-11-18,1414,1
Detention,2020-02-13,2024-07-01,1337,0
High Rise,2019-10-18,2024-04-28,1410,0
Low Rise,2024-04-20,2024-10-19,709,1
Low Rise,2022-08-30,2024-07-06,1262,0
Group Home,2021-08-29,2024-09-26,114,0
